GEOID,Latitude,Longitude,block_pop,area_km2,pop_density
171978833052,41.44202855674323,-88.20297556650101,,4.216702564863194,
171978814022,41.54252252482028,-88.10468473480246,,0.5794147413828369,
171978814023,41.54907325728638,-88.11238272152337,,1.0083287809356734,
171978814011,41.547043889287465,-88.08546633984962,,1.653320744753113,
171978806023,41.58552543247173,-88.05469242252109,,0.9891708993726517,
171978813012,41.541721890667084,-88.06910581269706,,1.6051982135949117,
171978839031,41.33999124141548,-87.72761400152311,,166.56041127534715,
170318433001,41.86376404026212,-87.69255033740328,1228.0,1.054193983967968,1164.8709997166075
170318387004,41.86066446944996,-87.71708376724237,786.0,0.20848552411138171,3770.0459221335955
170318431002,41.85692121176369,-87.7007877024235,662.0,0.6342326025843065,1043.7810943533173
170314008001,41.782930033414246,-87.61811523989452,915.0,0.4403938690482468,2077.6855998868555
170314008002,41.78279774368673,-87.62296202359866,1786.0,0.44749163522383284,3991.136055775998
170318363001,41.80146139574371,-87.60400906643251,517.0,0.13591812192996283,3803.760621901505
170314105001,41.79793200916088,-87.60257930957367,1272.0,0.25388731581056356,5010.096687733289
170314105002,41.79771414749679,-87.60508618463894,1285.0,0.21970696419790944,5848.699446971044
170314106002,41.796499295140485,-87.59890936873349,1014.0,0.2263953972294762,4478.889643556673
170314107001,41.798049408515205,-87.59419955533633,2154.0,0.46803694540392254,4602.20079024118
170314108001,41.79952878778912,-87.5895529882373,1007.0,0.21732704647905185,4633.569619219321
170314108002,41.79649323150974,-87.58969205294429,1655.0,0.231976771097996,7134.335011934724
170318381001,41.87519977159536,-87.67160857754786,914.0,0.3508060942147437,2605.427941740661
170313301024,41.86243282556606,-87.62128188604513,,0.1887718389921368,
170318331004,41.879626849288265,-87.64924333687223,,0.29930418411317306,
170313806004,41.820098966518415,-87.62779424781947,,0.34497606616596155,
170314608004,41.73563268348433,-87.55951425692807,,0.4683710667090644,
170318446001,41.81338536188952,-87.62544367596455,,0.7830752449761257,
170313301033,41.85422807197226,-87.62308774775569,,0.3408404662669143,
170313301012,41.86569354705911,-87.62149877072984,,0.1244817438555532,
170313301021,41.86577707069595,-87.62612859487655,,0.13463093589554384,
170313301032,41.85765541898878,-87.62189751698943,,0.30983281066000906,
170313301022,41.86581937060318,-87.62378876262228,,0.13222704898755053,
170313806001,41.82200384938981,-87.61912017001154,,0.2918963066895882,
170314608001,41.73463451415145,-87.55206556318926,,0.20957232982172608,
170314608003,41.73562260546327,-87.54583405949872,,0.3408688373167502,
170318051055,42.064469926031066,-88.01067183292008,,0.5769111321552955,
171978838111,41.45271443572201,-87.6186599534518,,7.360469045640787,
170190054021,40.13883016181076,-88.20081747068052,,2.4772473953922556,
170190012013,40.10652843836371,-88.28573658481315,,1.2846242623089013,
170190012052,40.0827315087602,-88.3288173719779,,36.80884074673084,
170190003023,40.11471203041728,-88.23365504198783,,0.17373923884276757,
170190102045,40.30133037396144,-88.1740577095354,,10.72009315542875,
